# Aircraft             Segment              Span Fraction        Control (x)          Control (y)          Control (z)          Chord                Swept Chord          Twist                Dihedral             Sweep                Aero Sweep           Area                 Alpha                Flap Defl.           u                    v                    w                    Re                   M                    q                    CL                   Cm                   Parasitic CD         Zero-Lift Alpha      Fx                   Fy                   Fz                   Mx                   My                   Mz                   Circ                 
Horizon              wing_right             3.925212808701e-01  -3.388440724119e-01   2.161002704246e+00  -8.228736421850e-02   1.067031391005e+00   1.016764393916e+00   0.000000000000e+00  -7.611987483698e-02   3.082854930898e-01   3.081681339835e-01   3.093292366044e-01   8.384546239416e-02   0.000000000000e+00  -4.990987060329e+01  -2.825274652694e-02  -3.998682404423e+00   3.080897573465e+05   4.267312067177e-02   2.324502979196e+00   5.268165773887e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.022203777829e-02  -1.968054190513e-02  -3.770797010167e-01  -8.164897135330e-01  -1.302581133464e-01  -5.864127040031e-02   1.276116623422e+01
Horizon              wing_right             4.836368970000e-01  -5.188485330867e-01   2.661301716722e+00  -1.248926616337e-01   1.043074743839e+00   9.688021962880e-01   0.000000000000e+00  -9.378951374199e-02   3.798475306550e-01   3.796494450130e-01   6.047685512399e-01   8.594473271099e-02   0.000000000000e+00  -4.989467221061e+01  -1.775064291575e-02  -3.993859119354e+00   2.857858448510e+05   4.154349901841e-02   2.203065676116e+00   5.400066817992e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.731391727472e-02  -4.433531546779e-02  -7.158169704386e-01  -1.910542087841e+00  -3.785586727477e-01  -1.295263130409e-01   1.213277548622e+01
Horizon              wing_right             5.747525131299e-01  -7.405653948971e-01   3.160769849470e+00  -1.763309510895e-01   1.019118096672e+00   9.170965986384e-01   0.000000000000e+00  -1.114591526470e-01   4.514095682203e-01   4.512736705844e-01   2.954393146355e-01   8.885832053402e-02   0.000000000000e+00  -4.988797507559e+01  -1.916946152515e-02  -4.005194332187e+00   2.618065798636e+05   4.020341523667e-02   2.063227864539e+00   5.583132940000e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.717559466093e-02  -2.412805513590e-02  -3.383788038430e-01  -1.073792043797e+00  -2.553835309458e-01  -6.802739756588e-02   1.148955022750e+01
Horizon              wing_right             6.000345073645e-01  -8.098279469132e-01   3.299189817260e+00  -1.921670011822e-01   1.004795179893e+00   8.953244044709e-01   0.000000000000e+00  -1.163619753233e-01   4.712660000592e-01   4.711394868787e-01   2.311667899880e-01   9.085177154160e-02   0.000000000000e+00  -4.988883938889e+01  -2.538094209349e-02  -4.055444774535e+00   2.530264238079e+05   3.979998677738e-02   2.022027952754e+00   5.708385160814e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.156678657100e-02  -2.022505515732e-02  -2.651814240386e-01  -8.787704421130e-01  -2.188957528892e-01  -5.477410775180e-02   1.135659428426e+01
Horizon              wing_right             6.723442710000e-01  -1.027420620887e+00   3.694639613541e+00  -2.412040084502e-01   9.857830767249e-01   8.515990686481e-01   0.000000000000e+00  -1.303846803986e-01   5.280579556142e-01   5.278721895075e-01   4.535855944197e-01   9.396361201905e-02   0.000000000000e+00  -4.987897234275e+01  -2.037081294252e-02  -4.066393927312e+00   2.330263163005e+05   3.853605605239e-02   1.895639848431e+00   5.903907864476e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.112466592513e-02  -4.191338390886e-02  -5.042310954699e-01  -1.873061855909e+00  -5.279768594453e-01  -1.088781449015e-01   1.081594016383e+01
Horizon              wing_right             7.446540346355e-01  -1.275376960642e+00   4.089362921620e+00  -2.957812887039e-01   9.667709735563e-01   8.061755722653e-01   0.000000000000e+00  -1.444073854739e-01   5.848499111692e-01   5.846872405244e-01   2.224188044317e-01   9.696385355852e-02   0.000000000000e+00  -4.987122594878e+01  -2.223377651418e-02  -4.053511554970e+00   2.126422021806e+05   3.714644864114e-02   1.761391510487e+00   6.092418600064e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.926821420233e-02  -2.132359673637e-02  -2.369440291472e-01  -9.752572482163e-01  -3.078921329639e-01  -5.159909672923e-02   1.018299448368e+01
Horizon              wing_right             7.715417584638e-01  -1.375756608518e+00   4.235936222121e+00  -3.174862858292e-01   9.522959246554e-01   7.828295145307e-01   0.000000000000e+00  -1.496216000202e-01   6.059674800819e-01   6.058042906161e-01   2.813271122903e-01   9.938869205823e-02   0.000000000000e+00  -4.987238206408e+01  -2.992091655929e-02  -4.095694574026e+00   2.034790821253e+05   3.660581256366e-02   1.710493399663e+00   6.244775696401e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.450456598219e-02  -2.810376628471e-02  -2.981814596911e-01  -1.272000206246e+00  -4.180049773471e-01  -6.513583646088e-02   9.991847869056e+00
Horizon              wing_right             8.473546525362e-01  -1.684199723552e+00   4.648582596940e+00  -3.827977879869e-01   9.360205622991e-01   7.363709306484e-01   0.000000000000e+00  -1.643236513206e-01   6.655107878482e-01   6.653450901753e-01   2.765190473027e-01   9.856871812099e-02   0.000000000000e+00  -4.985127136025e+01  -7.969211782215e-03  -3.890260235292e+00   1.827456063343e+05   3.495004839323e-02   1.559253983736e+00   6.193255214453e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.067163291019e-02  -2.717643143462e-02  -2.648384798479e-01  -1.241526626259e+00  -4.539539498979e-01  -5.032325468730e-02   8.895626927190e+00
Horizon              wing_right             8.815280085000e-01  -1.836170079467e+00   4.834263526454e+00  -4.142197128456e-01   9.222747738938e-01   7.025444851986e-01   0.000000000000e+00  -1.709507355208e-01   6.923504788593e-01   7.047835243713e-01   1.877654275321e-01   9.818494789561e-02   0.000000000000e+00  -4.985620333701e+01  -2.567007142932e-03  -3.803711473772e+00   1.679224053393e+05   3.366140897628e-02   1.446391564535e+00   6.169142220039e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.267252110745e-02  -1.800702564069e-02  -1.660897702989e-01  -8.103805836630e-01  -3.102182747825e-01  -2.819834487633e-02   8.106907627647e+00
Horizon              wing_right             9.500000000000e-01  -2.166749896375e+00   5.178366075062e+00  -5.519567196415e-01   5.729166666667e-01   4.098300398495e-01   0.000000000000e+00  -7.417649320976e-01   7.461282552276e-01   7.736861975410e-01   3.157206885078e-01   1.125026712650e-01   0.000000000000e+00  -4.989904983269e+01  -7.796204891500e-01  -5.096339419743e+00   8.913316815435e+04   3.062901482464e-02   1.197532629393e+00   7.068751311109e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.411657453843e-02  -1.617471575293e-01  -2.113855981495e-01  -1.183909440695e+00  -4.713310282569e-01   2.255811853791e-01   5.265193069091e+00
